date,league,home_team,away_team,home_goals,away_goals
2026-05-17,2. Bundesliga,1. FC Magdeburg,1. FC Kaiserslautern,,
2026-05-17,2. Bundesliga,Arminia Bielefeld,Hertha BSC,,
2026-05-17,2. Bundesliga,SV Darmstadt 98,SC Paderborn 07,,
2026-05-17,2. Bundesliga,FC Schalke 04,Eintracht Braunschweig,,
2026-05-17,2. Bundesliga,Hannover 96,1. FC Nürnberg,,
2026-05-17,2. Bundesliga,Karlsruher SC,VfL Bochum,,
2026-05-17,2. Bundesliga,Dresden,Holstein Kiel,,
2026-05-17,2. Bundesliga,SV Elversberg,Preußen Münster,,
2026-05-17,2. Bundesliga,SpVgg Greuther Fürth,Fortuna Düsseldorf,,
2026-05-17,EPL,Brentford,Crystal Palace,,
2026-05-17,EPL,Everton,Sunderland,,
2026-05-17,EPL,Leeds,Brighton & Hove Albion,,
2026-05-17,EPL,Wolverhampton Wanderers,Fulham,,
2026-05-17,Eredivisie,AZ Alkmaar,NAC Breda,,
2026-05-17,Eredivisie,FC Utrecht,For Sittard,,
2026-05-17,Eredivisie,FC Volendam,Telstar,,
2026-05-17,Eredivisie,Heracles Almelo,FC Groningen,,
2026-05-17,Eredivisie,NEC Nijmegen,Go Ahead Eagles,,
2026-05-17,Eredivisie,PEC Zwolle,Feyenoord,,
2026-05-17,Eredivisie,PSV Eindhoven,FC Twente,,
2026-05-17,Eredivisie,SC Heerenveen,AFC Ajax,,
2026-05-17,Eredivisie,Sparta Rotterdam,Excelsior Rotterdam,,
2026-05-17,La Liga,Sevilla,Real Madrid,,
2026-05-17,La Liga,Sociedad,Valencia,,
2026-05-17,La Liga,Real Oviedo,Alaves,,
2026-05-17,La Liga,Vallecano,Villarreal,,
2026-05-17,La Liga,Osasuna,Espanol,,
2026-05-17,La Liga,Levante,Mallorca,,
2026-05-17,La Liga,Elche,Getafe,,
2026-05-17,La Liga,Ath Madrid,Girona,,
2026-05-17,La Liga,Ath Bilbao,Celta,,
2026-05-17,Late Serie A,Cagliari,Torino,,
2026-05-17,Late Serie A,Sassuolo,Lecce,,
2026-05-17,Late Serie A,Udinese,Cremonese,,
2026-05-17,Ligue 1,Lille,Auxerre,,
2026-05-17,Ligue 1,Lorient,Le Havre,,
2026-05-17,Ligue 1,Nantes,Toulouse,,
2026-05-17,Ligue 1,Nice,Metz,,
2026-05-17,Ligue 1,Lyon,Lens,,
2026-05-17,Ligue 1,Marseille,Rennes,,
2026-05-17,Ligue 1,Paris FC,Paris SG,,
2026-05-17,Ligue 1,Strasbourg,Monaco,,
2026-05-17,Ligue 1,Brest,Angers,,
